name,geoid,county,state,cases,c_avg,c_avg_100
"Ottawa, Ohio",39123,Ottawa,Ohio,0,6.86,16.92
"Talbot, Maryland",24041,Talbot,Maryland,0,6.29,16.91
"Macon, Illinois",17115,Macon,Illinois,0,17.57,16.89
"Douglas, Minnesota",27041,Douglas,Minnesota,0,6.43,16.85
"Marshall, Minnesota",27089,Marshall,Minnesota,0,1.57,16.83
"Clark, Arkansas",05019,Clark,Arkansas,3,3.75,16.8
"Johnston, North Carolina",37101,Johnston,North Carolina,0,35.0,16.72
"Clay, Texas",48077,Clay,Texas,0,1.75,16.71
"Renville, Minnesota",27129,Renville,Minnesota,0,2.43,16.69
"Sedgwick, Colorado",08115,Sedgwick,Colorado,0,0.38,16.68
"Ida, Iowa",19093,Ida,Iowa,0,1.14,16.66
"King William, Virginia",51101,King William,Virginia,0,2.86,16.66
"Midland, Michigan",26111,Midland,Michigan,0,13.86,16.66
"Wright, Minnesota",27171,Wright,Minnesota,0,23.0,16.62
"Clarke, Virginia",51043,Clarke,Virginia,0,2.43,16.61
"Cottonwood, Minnesota",27033,Cottonwood,Minnesota,0,1.86,16.59
"Rio Arriba, New Mexico",35039,Rio Arriba,New Mexico,0,6.43,16.52
"Madison, Illinois",17119,Madison,Illinois,0,43.43,16.51
"Hood River, Oregon",41027,Hood River,Oregon,0,3.86,16.5
"Clay, Missouri",29047,Clay,Missouri,0,20.0,16.48
"Atascosa, Texas",48013,Atascosa,Texas,0,8.43,16.48
"Arapahoe, Colorado",08005,Arapahoe,Colorado,0,108.13,16.47
"Medina, Ohio",39103,Medina,Ohio,0,29.57,16.45
"Putnam, West Virginia",54079,Putnam,West Virginia,0,9.29,16.45
"Coconino, Arizona",04005,Coconino,Arizona,0,23.57,16.43
"Livingston, Illinois",17105,Livingston,Illinois,0,5.86,16.43
"Fayette, Kentucky",21067,Fayette,Kentucky,0,53.0,16.4
"Lake, Florida",12069,Lake,Florida,0,60.07,16.36
"Polk, Florida",12105,Polk,Florida,0,118.5,16.35
"Mille Lacs, Minnesota",27095,Mille Lacs,Minnesota,0,4.29,16.31
"San Luis Obispo, California",06079,San Luis Obispo,California,0,46.14,16.3
"Amelia, Virginia",51007,Amelia,Virginia,0,2.14,16.3
"Dodge, Wisconsin",55027,Dodge,Wisconsin,0,14.29,16.26
"Linn, Iowa",19113,Linn,Iowa,0,36.86,16.26
"Davidson, Tennessee",47037,Davidson,Tennessee,0,112.86,16.26
"Crow Wing, Minnesota",27035,Crow Wing,Minnesota,0,10.57,16.25
"Golden Valley, North Dakota",38033,Golden Valley,North Dakota,0,0.29,16.22
"Clear Creek, Colorado",08019,Clear Creek,Colorado,0,1.57,16.2
"Bristol city, Virginia",51520,Bristol city,Virginia,0,2.71,16.19
"Centre, Pennsylvania",42027,Centre,Pennsylvania,0,26.29,16.19
"Rusk, Wisconsin",55107,Rusk,Wisconsin,0,2.29,16.12
"Martin, Florida",12085,Martin,Florida,0,25.93,16.1
"Fairfax city, Virginia",51600,Fairfax city,Virginia,0,3.86,16.06
"Clark, Indiana",18019,Clark,Indiana,0,19.0,16.06
"Washington, North Carolina",37187,Washington,North Carolina,0,1.86,16.04
"Emporia city, Virginia",51595,Emporia city,Virginia,0,0.86,16.03
"Dinwiddie, Virginia",51053,Dinwiddie,Virginia,0,4.57,16.02
"St. Louis, Missouri",29189,St. Louis,Missouri,0,159.29,16.02
"Griggs, North Dakota",38039,Griggs,North Dakota,0,0.36,16.01
"Carroll, Illinois",17015,Carroll,Illinois,0,2.29,15.98
"Santa Barbara, California",06083,Santa Barbara,California,0,71.29,15.97
"Louisa, Virginia",51109,Louisa,Virginia,0,6.0,15.96
"Van Buren, Michigan",26159,Van Buren,Michigan,0,12.0,15.86
"Frederick, Maryland",24021,Frederick,Maryland,0,41.14,15.85
"St. Clair, Illinois",17163,St. Clair,Illinois,0,41.13,15.84
"Harford, Maryland",24025,Harford,Maryland,0,40.43,15.83
"Le Sueur, Minnesota",27079,Le Sueur,Minnesota,0,4.57,15.83
"Coles, Illinois",17029,Coles,Illinois,0,8.0,15.8
"Charlotte, Florida",12015,Charlotte,Florida,0,29.86,15.8
"Bullitt, Kentucky",21029,Bullitt,Kentucky,0,12.86,15.74
"Lincoln, Montana",30053,Lincoln,Montana,0,3.14,15.73
"Gladwin, Michigan",26051,Gladwin,Michigan,0,4.0,15.72
"Ashland, Wisconsin",55003,Ashland,Wisconsin,0,2.44,15.71
"Davie, North Carolina",37059,Davie,North Carolina,0,6.71,15.67
"Charlotte, Virginia",51037,Charlotte,Virginia,0,1.86,15.63
"Lake, Ohio",39085,Lake,Ohio,0,35.86,15.58
"Bibb, Georgia",13021,Bibb,Georgia,0,23.83,15.56
"Collier, Florida",12021,Collier,Florida,0,59.79,15.53
"Spencer, Kentucky",21215,Spencer,Kentucky,0,3.0,15.5
"Mendocino, California",06045,Mendocino,California,0,13.43,15.48
"Washington, Pennsylvania",42125,Washington,Pennsylvania,0,32.0,15.47
"Kusilvak Census Area, Alaska",02158,Kusilvak Census Area,Alaska,0,1.29,15.46
"Wayne, Kentucky",21231,Wayne,Kentucky,0,3.14,15.46
"King George, Virginia",51099,King George,Virginia,0,4.14,15.44
"Lincoln, Oregon",41041,Lincoln,Oregon,0,7.71,15.44
"St. Bernard, Louisiana",22087,St. Bernard,Louisiana,0,7.29,15.42
"Patrick, Virginia",51141,Patrick,Virginia,0,2.71,15.42
"Stephenson, Illinois",17177,Stephenson,Illinois,0,6.86,15.41
"Iron, Wisconsin",55051,Iron,Wisconsin,0,0.88,15.39
"Upshur, West Virginia",54097,Upshur,West Virginia,0,3.71,15.36
"Seminole, Florida",12117,Seminole,Florida,0,72.43,15.35
"Cedar, Iowa",19031,Cedar,Iowa,0,2.86,15.34
"Jasper, Indiana",18073,Jasper,Indiana,0,5.14,15.32
"Lee, Florida",12071,Lee,Florida,0,117.86,15.29
"Randolph, Illinois",17157,Randolph,Illinois,0,4.86,15.28
"Lewis, West Virginia",54041,Lewis,West Virginia,0,2.43,15.27
"Macoupin, Illinois",17117,Macoupin,Illinois,0,6.86,15.26
"Hinsdale, Colorado",08053,Hinsdale,Colorado,0,0.13,15.24
"Menard, Illinois",17129,Menard,Illinois,0,1.86,15.23
"Graham, North Carolina",37075,Graham,North Carolina,0,1.29,15.23
"Manatee, Florida",12081,Manatee,Florida,0,61.43,15.23
"Jackson, Wisconsin",55053,Jackson,Wisconsin,0,3.14,15.22
"Gentry, Missouri",29075,Gentry,Missouri,0,1.0,15.22
"San Joaquin, California",06077,San Joaquin,California,0,115.71,15.18
"Decatur, Kansas",20039,Decatur,Kansas,0,0.43,15.16
"Lake, Indiana",18089,Lake,Indiana,0,73.57,15.15
"York, Pennsylvania",42133,York,Pennsylvania,0,68.0,15.14
"Sherburne, Minnesota",27141,Sherburne,Minnesota,0,14.71,15.13
"Pasco, Florida",12101,Pasco,Florida,0,83.71,15.11
"Hillsborough, Florida",12057,Hillsborough,Florida,0,221.14,15.02
"Chesapeake city, Virginia",51550,Chesapeake city,Virginia,0,36.71,15.0
"Adams, Pennsylvania",42001,Adams,Pennsylvania,0,15.43,14.98
"Ogemaw, Michigan",26129,Ogemaw,Michigan,0,3.14,14.97
"Taylor, West Virginia",54091,Taylor,West Virginia,0,2.5,14.97
"Kansas City, Missouri",29998,Kansas City,Missouri,0,74.14,14.97
"Hamilton, Indiana",18057,Hamilton,Indiana,0,50.43,14.92
"Sacramento, California",06067,Sacramento,California,0,230.29,14.84
"Mitchell, Iowa",19131,Mitchell,Iowa,0,1.57,14.84
"Portsmouth city, Virginia",51740,Portsmouth city,Virginia,0,14.0,14.83
"Benton, Washington",53005,Benton,Washington,0,30.29,14.82
"Mercer, Illinois",17131,Mercer,Illinois,0,2.29,14.81
"Northumberland, Pennsylvania",42097,Northumberland,Pennsylvania,0,13.43,14.78
"Frio, Texas",48163,Frio,Texas,2,3.0,14.77
"Chaffee, Colorado",08015,Chaffee,Colorado,0,3.0,14.74
"Berkeley, West Virginia",54003,Berkeley,West Virginia,0,17.57,14.74
"Mason, Michigan",26105,Mason,Michigan,0,4.29,14.71
"Marion, Ohio",39101,Marion,Ohio,0,9.57,14.7
"Crawford, Pennsylvania",42039,Crawford,Pennsylvania,0,12.43,14.69
"New Hanover, North Carolina",37129,New Hanover,North Carolina,0,34.43,14.68
"Escambia, Alabama",01053,Escambia,Alabama,0,5.38,14.67
"Pacific, Washington",53049,Pacific,Washington,0,3.29,14.62
"Roane, West Virginia",54087,Roane,West Virginia,0,2.0,14.61
"Black Hawk, Iowa",19013,Black Hawk,Iowa,0,19.14,14.59
"Ventura, California",06111,Ventura,California,0,123.29,14.57
"Itasca, Minnesota",27061,Itasca,Minnesota,0,6.57,14.56
"Crenshaw, Alabama",01041,Crenshaw,Alabama,0,2.0,14.52
"Waynesboro city, Virginia",51820,Waynesboro city,Virginia,0,3.29,14.52
"Hyde, North Carolina",37095,Hyde,North Carolina,0,0.71,14.47
"Marshall, South Dakota",46091,Marshall,South Dakota,0,0.71,14.47
"Haywood, North Carolina",37087,Haywood,North Carolina,0,9.0,14.44
"Dixon, Nebraska",31051,Dixon,Nebraska,0,0.81,14.42
"Hillsdale, Michigan",26059,Hillsdale,Michigan,0,6.57,14.41
"Park, Colorado",08093,Park,Colorado,0,2.71,14.4
"Refugio, Texas",48391,Refugio,Texas,0,1.0,14.39
"Hancock, West Virginia",54029,Hancock,West Virginia,0,4.14,14.38
"Cumberland, Virginia",51049,Cumberland,Virginia,0,1.43,14.38
"Blanco, Texas",48031,Blanco,Texas,3,1.71,14.37
"Alachua, Florida",12001,Alachua,Florida,0,38.64,14.36
"Morrill, Nebraska",31123,Morrill,Nebraska,0,0.67,14.36
"Nelson, Virginia",51125,Nelson,Virginia,0,2.14,14.35
"St. Mary's, Maryland",24037,St. Mary's,Maryland,0,16.29,14.35
"Pendleton, West Virginia",54071,Pendleton,West Virginia,0,1.0,14.35
"Citrus, Florida",12017,Citrus,Florida,0,21.43,14.32
"Erie, Pennsylvania",42049,Erie,Pennsylvania,0,38.57,14.3
"Rock Island, Illinois",17161,Rock Island,Illinois,0,20.29,14.3
"Marion, West Virginia",54049,Marion,West Virginia,0,8.0,14.27
"Pulaski, Virginia",51155,Pulaski,Virginia,0,4.86,14.27
"Kalkaska, Michigan",26079,Kalkaska,Michigan,0,2.57,14.26
"Isle of Wight, Virginia",51093,Isle of Wight,Virginia,0,5.29,14.24
"Tyrrell, North Carolina",37177,Tyrrell,North Carolina,0,0.57,14.23
"El Paso, Colorado",08041,El Paso,Colorado,0,102.43,14.22
"Geauga, Ohio",39055,Geauga,Ohio,0,13.29,14.19
"Worth, Missouri",29227,Worth,Missouri,0,0.29,14.19
"LaPorte, Indiana",18091,LaPorte,Indiana,0,15.57,14.17
"Berrien, Michigan",26021,Berrien,Michigan,0,21.71,14.16
"LaMoure, North Dakota",38045,LaMoure,North Dakota,0,0.57,14.12
"Travis, Texas",48453,Travis,Texas,239,179.86,14.12
"Schoolcraft, Michigan",26153,Schoolcraft,Michigan,0,1.14,14.12
"Jackson, Oregon",41029,Jackson,Oregon,0,31.14,14.1
"Mississippi, Missouri",29133,Mississippi,Missouri,0,1.86,14.09
"Washington, Virginia",51191,Washington,Virginia,0,7.57,14.09
"Monongalia, West Virginia",54061,Monongalia,West Virginia,0,14.86,14.07
"Butler, Pennsylvania",42019,Butler,Pennsylvania,0,26.43,14.07
"Bernalillo, New Mexico",35001,Bernalillo,New Mexico,0,95.29,14.03
"Moore, North Carolina",37125,Moore,North Carolina,0,14.14,14.02
"Elmore, Idaho",16039,Elmore,Idaho,0,3.86,14.02
"Lamoille, Vermont",50015,Lamoille,Vermont,0,3.56,14.02
"Franklin, Kansas",20059,Franklin,Kansas,0,3.57,13.98
"Roanoke city, Virginia",51770,Roanoke city,Virginia,0,13.86,13.98
"Emmet, Iowa",19063,Emmet,Iowa,0,1.29,13.96
"Carbon, Utah",49007,Carbon,Utah,0,2.86,13.96
"Pickaway, Ohio",39129,Pickaway,Ohio,0,8.14,13.93
"DeKalb, Georgia",13089,DeKalb,Georgia,0,105.71,13.92
"Muskegon, Michigan",26121,Muskegon,Michigan,0,24.14,13.91
"Mason, Illinois",17125,Mason,Illinois,0,1.86,13.9
"Dolores, Colorado",08033,Dolores,Colorado,0,0.29,13.9
"Warren, Ohio",39165,Warren,Ohio,0,32.57,13.88
"Winnebago, Iowa",19189,Winnebago,Iowa,0,1.43,13.8
"Gloucester, Virginia",51073,Gloucester,Virginia,0,5.14,13.77
"Luce, Michigan",26095,Luce,Michigan,0,0.86,13.76
"Davis, Utah",49011,Davis,Utah,0,48.86,13.74
"Gilpin, Colorado",08047,Gilpin,Colorado,0,0.86,13.73
"Sherman, Nebraska",31163,Sherman,Nebraska,0,0.41,13.72
"Kanawha, West Virginia",54039,Kanawha,West Virginia,0,24.43,13.71
"Floyd, Iowa",19067,Floyd,Iowa,0,2.14,13.7
"Hamilton, Ohio",39061,Hamilton,Ohio,0,112.0,13.7
"Bastrop, Texas",48021,Bastrop,Texas,13,12.14,13.69
"Essex, Virginia",51057,Essex,Virginia,0,1.5,13.69
"Oldham, Kentucky",21185,Oldham,Kentucky,0,9.14,13.69
"Chelan, Washington",53007,Chelan,Washington,0,10.57,13.69
"Pope, Illinois",17151,Pope,Illinois,0,0.57,13.68
"Botetourt, Virginia",51023,Botetourt,Virginia,0,4.57,13.68
"Erie, Ohio",39043,Erie,Ohio,0,10.14,13.66
"Glacier, Montana",30035,Glacier,Montana,0,1.88,13.63
"Virginia Beach city, Virginia",51810,Virginia Beach city,Virginia,0,61.29,13.62
"Monroe, Illinois",17133,Monroe,Illinois,0,4.71,13.61
"Scott, Tennessee",47151,Scott,Tennessee,0,3.0,13.59
"Winneshiek, Iowa",19191,Winneshiek,Iowa,0,2.71,13.58
"Wadena, Minnesota",27159,Wadena,Minnesota,0,1.86,13.57
"Worth, Iowa",19195,Worth,Iowa,0,1.0,13.55
"Adams, Illinois",17001,Adams,Illinois,0,8.86,13.54
"Adair, Oklahoma",40001,Adair,Oklahoma,0,3.0,13.52
"Beaver, Pennsylvania",42007,Beaver,Pennsylvania,0,22.14,13.51
"Williamson, Illinois",17199,Williamson,Illinois,0,9.0,13.51
"Galax city, Virginia",51640,Galax city,Virginia,0,0.86,13.5
"Oceana, Michigan",26127,Oceana,Michigan,0,3.57,13.49
"Lancaster, Virginia",51103,Lancaster,Virginia,0,1.43,13.47
"Randolph, West Virginia",54083,Randolph,West Virginia,0,3.86,13.44
"Shenandoah, Virginia",51171,Shenandoah,Virginia,0,5.86,13.43
"McDowell, North Carolina",37111,McDowell,North Carolina,0,6.14,13.43
"Person, North Carolina",37145,Person,North Carolina,0,5.29,13.38
"Stark, Illinois",17175,Stark,Illinois,0,0.71,13.37
"St. Joseph, Indiana",18141,St. Joseph,Indiana,0,36.29,13.35
"Miami, Kansas",20121,Miami,Kansas,0,4.57,13.35
"Orange, California",06059,Orange,California,0,424.0,13.35
"Jefferson, Louisiana",22051,Jefferson,Louisiana,0,57.71,13.34
"St. Lucie, Florida",12111,St. Lucie,Florida,0,43.79,13.34
"Carroll, Maryland",24013,Carroll,Maryland,0,22.43,13.31
"Davidson, North Carolina",37057,Davidson,North Carolina,0,22.29,13.3
"Blue Earth, Minnesota",27013,Blue Earth,Minnesota,0,9.0,13.3
"Craven, North Carolina",37049,Craven,North Carolina,0,13.57,13.29
"Sanilac, Michigan",26151,Sanilac,Michigan,0,5.43,13.19
"Delta, Michigan",26041,Delta,Michigan,0,4.71,13.17
"Day, South Dakota",46037,Day,South Dakota,0,0.71,13.17
"Dallas, Iowa",19049,Dallas,Iowa,0,12.29,13.15
"Lincoln, New Mexico",35027,Lincoln,New Mexico,0,2.57,13.14
"Campbell, Kentucky",21037,Campbell,Kentucky,0,12.29,13.13
"Deuel, South Dakota",46039,Deuel,South Dakota,0,0.57,13.13
"Peach, Georgia",13225,Peach,Georgia,0,3.62,13.12
"Jersey, Illinois",17083,Jersey,Illinois,0,2.86,13.12
"Bremer, Iowa",19017,Bremer,Iowa,0,3.29,13.11
"Marshall, West Virginia",54051,Marshall,West Virginia,0,4.0,13.1
"Beaufort, North Carolina",37013,Beaufort,North Carolina,0,6.14,13.07
"Grundy, Missouri",29079,Grundy,Missouri,0,1.29,13.05
"Tooele, Utah",49045,Tooele,Utah,0,9.43,13.05
"Brown, Illinois",17009,Brown,Illinois,0,0.86,13.03
"Mercer, Kentucky",21167,Mercer,Kentucky,0,2.86,13.03
"Brooke, West Virginia",54009,Brooke,West Virginia,0,2.86,13.02
"Cottle, Texas",48101,Cottle,Texas,0,0.18,13.01
"Franklin, Virginia",51067,Franklin,Virginia,0,7.29,13.0
"Wahkiakum, Washington",53069,Wahkiakum,Washington,0,0.58,13.0
"Bryan, Georgia",13029,Bryan,Georgia,0,5.14,12.98
"Rowan, North Carolina",37159,Rowan,North Carolina,0,18.43,12.97
"Lancaster, Pennsylvania",42071,Lancaster,Pennsylvania,0,70.71,12.96
"Wythe, Virginia",51197,Wythe,Virginia,0,3.71,12.95
"Williamson, Tennessee",47187,Williamson,Tennessee,0,30.86,12.94
"Hampshire, West Virginia",54027,Hampshire,West Virginia,0,3.0,12.94
"Harrisonburg city, Virginia",51660,Harrisonburg city,Virginia,0,6.86,12.93
"Clare, Michigan",26035,Clare,Michigan,0,4.0,12.92
"Greene, Arkansas",05055,Greene,Arkansas,2,5.86,12.92
"Lyon, Minnesota",27083,Lyon,Minnesota,0,3.29,12.9
"Josephine, Oregon",41033,Josephine,Oregon,0,11.29,12.9
"St. Tammany, Louisiana",22103,St. Tammany,Louisiana,0,33.57,12.89
"Shelby, Tennessee",47157,Shelby,Tennessee,171,120.71,12.88
"Vilas, Wisconsin",55125,Vilas,Wisconsin,0,2.86,12.87
"Benzie, Michigan",26019,Benzie,Michigan,0,2.29,12.87
"Rowan, Kentucky",21205,Rowan,Kentucky,0,3.14,12.85
"Henry, Illinois",17073,Henry,Illinois,0,6.29,12.85
"Giles, Virginia",51071,Giles,Virginia,0,2.14,12.82
"Lincoln, Kentucky",21137,Lincoln,Kentucky,0,3.14,12.8
"Lewis, Missouri",29111,Lewis,Missouri,0,1.25,12.79
"Beltrami, Minnesota",27007,Beltrami,Minnesota,0,6.0,12.72
"Floyd, Virginia",51063,Floyd,Virginia,0,2.0,12.7
"Granite, Montana",30039,Granite,Montana,0,0.43,12.68
"Mineral, Nevada",32021,Mineral,Nevada,0,0.57,12.68
"Amherst, Virginia",51009,Amherst,Virginia,0,4.0,12.66
"Bedford, Virginia",51019,Bedford,Virginia,0,10.0,12.66
"Otter Tail, Minnesota",27111,Otter Tail,Minnesota,0,7.43,12.65
"Alpine, California",06003,Alpine,California,0,0.14,12.65
"Caswell, North Carolina",37033,Caswell,North Carolina,0,2.86,12.64
"Knox, Missouri",29103,Knox,Missouri,0,0.5,12.63
"Ouray, Colorado",08091,Ouray,Colorado,0,0.63,12.62
"Riverside, California",06065,Riverside,California,0,311.86,12.62
"Bristol Bay plus Lake and Peninsula, Alaska",02997,Bristol Bay plus Lake and Peninsula,Alaska,0,0.29,12.61
"Lincoln, West Virginia",54043,Lincoln,West Virginia,0,2.57,12.6
"Lebanon, Pennsylvania",42075,Lebanon,Pennsylvania,0,17.86,12.59
"Iredell, North Carolina",37097,Iredell,North Carolina,0,22.86,12.57
"Alexander, North Carolina",37003,Alexander,North Carolina,0,4.71,12.57
"Madison, Tennessee",47113,Madison,Tennessee,0,12.29,12.54
"Harrison, West Virginia",54033,Harrison,West Virginia,0,8.43,12.53
"Prince Edward, Virginia",51147,Prince Edward,Virginia,0,2.86,12.53
"Okanogan, Washington",53047,Okanogan,Washington,0,5.29,12.51
"Roscommon, Michigan",26143,Roscommon,Michigan,0,3.0,12.49
"Ray, Missouri",29177,Ray,Missouri,0,2.88,12.49
"Lycoming, Pennsylvania",42081,Lycoming,Pennsylvania,0,14.14,12.48
"Frederick, Virginia",51069,Frederick,Virginia,0,11.14,12.48
"Burke, North Carolina",37023,Burke,North Carolina,0,11.29,12.47
"La Plata, Colorado",08067,La Plata,Colorado,0,7.0,12.45
"Duval, Florida",12031,Duval,Florida,0,119.29,12.45
"Livingston, Kentucky",21139,Livingston,Kentucky,0,1.14,12.43
"Randolph, North Carolina",37151,Randolph,North Carolina,0,17.86,12.43
"Faulk, South Dakota",46049,Faulk,South Dakota,0,0.29,12.43
"Fairfield, Ohio",39045,Fairfield,Ohio,0,19.57,12.42
"Crawford, Wisconsin",55023,Crawford,Wisconsin,0,2.0,12.4
"Westmoreland, Pennsylvania",42129,Westmoreland,Pennsylvania,0,43.14,12.37
"Poweshiek, Iowa",19157,Poweshiek,Iowa,0,2.29,12.35
"Currituck, North Carolina",37053,Currituck,North Carolina,0,3.43,12.35
"Rusk, Texas",48401,Rusk,Texas,0,6.71,12.34
"Pike, Kentucky",21195,Pike,Kentucky,0,7.14,12.34
"Pipestone, Minnesota",27117,Pipestone,Minnesota,0,1.13,12.33
"Isanti, Minnesota",27059,Isanti,Minnesota,0,5.0,12.32
"Clinton, Iowa",19045,Clinton,Iowa,0,5.71,12.31
"Clark, Nevada",32003,Clark,Nevada,0,278.71,12.3
"Lake, Colorado",08065,Lake,Colorado,0,1.0,12.3
"Sioux, Nebraska",31165,Sioux,Nebraska,0,0.14,12.25
"Fountain, Indiana",18045,Fountain,Indiana,0,2.0,12.24
"Redwood, Minnesota",27127,Redwood,Minnesota,0,1.86,12.24
"Navajo, Arizona",04017,Navajo,Arizona,0,13.57,12.23
"Coos, New Hampshire",33007,Coos,New Hampshire,0,3.86,12.22
"Fulton, Ohio",39051,Fulton,Ohio,0,5.14,12.21
"Avery, North Carolina",37011,Avery,North Carolina,0,2.14,12.21
"Montgomery, Texas",48339,Montgomery,Texas,49,74.14,12.21
"Platte, Missouri",29165,Platte,Missouri,0,7.0,12.19
"Missoula, Montana",30063,Missoula,Montana,0,14.57,12.18
"Nance, Nebraska",31125,Nance,Nebraska,0,0.43,12.18
"Gila, Arizona",04007,Gila,Arizona,0,6.57,12.17
"McDowell, West Virginia",54047,McDowell,West Virginia,0,2.14,12.16
"Volusia, Florida",12127,Volusia,Florida,0,67.21,12.15
"Delaware, Indiana",18035,Delaware,Indiana,0,13.86,12.14
"Oscoda, Michigan",26135,Oscoda,Michigan,0,1.0,12.13
"Shawnee, Kansas",20177,Shawnee,Kansas,0,21.43,12.12
"Iroquois, Illinois",17075,Iroquois,Illinois,0,3.29,12.12
"Utah, Utah",49049,Utah,Utah,0,77.14,12.12
"Chippewa, Minnesota",27023,Chippewa,Minnesota,0,1.43,12.11
"Caldwell, Texas",48055,Caldwell,Texas,7,5.29,12.11
"Dauphin, Pennsylvania",42043,Dauphin,Pennsylvania,0,33.71,12.11
"Fayette, Georgia",13113,Fayette,Georgia,0,13.86,12.11
"Barry, Michigan",26015,Barry,Michigan,0,7.43,12.07
"Knox, Illinois",17095,Knox,Illinois,0,6.0,12.07
"Lapeer, Michigan",26087,Lapeer,Michigan,0,10.57,12.07
"Cobb, Georgia",13067,Cobb,Georgia,0,91.57,12.05
"Oconto, Wisconsin",55083,Oconto,Wisconsin,0,4.57,12.05
"Burnett, Wisconsin",55013,Burnett,Wisconsin,0,1.86,12.05
"Bracken, Kentucky",21023,Bracken,Kentucky,0,1.0,12.04
"St. Johns, Florida",12109,St. Johns,Florida,0,31.79,12.01
"Lafayette, Wisconsin",55065,Lafayette,Wisconsin,0,2.0,12.0
"Effingham, Georgia",13103,Effingham,Georgia,0,7.71,12.0
"Brown, Minnesota",27015,Brown,Minnesota,0,3.0,12.0
"Carroll, Indiana",18015,Carroll,Indiana,0,2.43,11.99
"Cass, Minnesota",27021,Cass,Minnesota,0,3.57,11.99
"Fulton, Kentucky",21075,Fulton,Kentucky,0,0.71,11.97
"Sandoval, New Mexico",35043,Sandoval,New Mexico,0,17.57,11.97
"Irwin, Georgia",13155,Irwin,Georgia,0,1.13,11.95
"Surry, North Carolina",37171,Surry,North Carolina,0,8.57,11.94
"Columbiana, Ohio",39029,Columbiana,Ohio,0,12.14,11.92
"Berks, Pennsylvania",42011,Berks,Pennsylvania,0,50.14,11.91
"Wyoming, West Virginia",54109,Wyoming,West Virginia,0,2.43,11.91
"Nevada, California",06057,Nevada,California,0,11.86,11.89
"Garfield, Colorado",08045,Garfield,Colorado,0,7.14,11.89
"Gibson, Indiana",18051,Gibson,Indiana,0,4.0,11.88
"Stevens, Washington",53065,Stevens,Washington,0,5.43,11.87
"Rappahannock, Virginia",51157,Rappahannock,Virginia,0,0.88,11.87
"Butler, Iowa",19023,Butler,Iowa,0,1.71,11.87
"Licking, Ohio",39089,Licking,Ohio,0,21.0,11.87
"Butler, Ohio",39017,Butler,Ohio,0,45.43,11.86
"Meigs, Ohio",39105,Meigs,Ohio,0,2.71,11.85
"Venango, Pennsylvania",42121,Venango,Pennsylvania,0,6.0,11.84
"Camden, North Carolina",37029,Camden,North Carolina,0,1.29,11.83
"Washoe, Nevada",32031,Washoe,Nevada,0,55.71,11.82
"Placer, California",06061,Placer,California,0,47.0,11.8
"Nicholas, Kentucky",21181,Nicholas,Kentucky,0,0.86,11.79
"Borden, Texas",48033,Borden,Texas,0,0.08,11.76
"Lac qui Parle, Minnesota",27073,Lac qui Parle,Minnesota,0,0.78,11.74
"Jackson, Missouri",29095,Jackson,Missouri,0,45.0,11.74
"Wasatch, Utah",49051,Wasatch,Utah,0,4.0,11.73
"Flagler, Florida",12035,Flagler,Florida,0,13.5,11.73
"Pleasants, West Virginia",54073,Pleasants,West Virginia,0,0.88,11.73
"Hamilton, Tennessee",47065,Hamilton,Tennessee,0,43.0,11.69
"Lewis, Washington",53041,Lewis,Washington,0,9.43,11.68
"Curry, New Mexico",35009,Curry,New Mexico,0,5.71,11.67
"Cecil, Maryland",24015,Cecil,Maryland,0,12.0,11.67
"Boundary, Idaho",16021,Boundary,Idaho,0,1.43,11.67
"Oneida, Wisconsin",55085,Oneida,Wisconsin,0,4.14,11.64
"Becker, Minnesota",27005,Becker,Minnesota,0,4.0,11.62
"Teton, Montana",30099,Teton,Montana,0,0.71,11.62
"Tazewell, Virginia",51185,Tazewell,Virginia,0,4.71,11.61
"Lincoln, North Carolina",37109,Lincoln,North Carolina,0,10.0,11.61
"Cumberland, Illinois",17035,Cumberland,Illinois,0,1.25,11.61
"Stokes, North Carolina",37169,Stokes,North Carolina,0,5.29,11.59
"Robeson, North Carolina",37155,Robeson,North Carolina,0,15.14,11.59
"Montgomery, Illinois",17135,Montgomery,Illinois,0,3.29,11.56
"Bullock, Alabama",01011,Bullock,Alabama,0,1.17,11.55
"Allen, Kansas",20001,Allen,Kansas,0,1.43,11.55
"Alleghany, North Carolina",37005,Alleghany,North Carolina,0,1.29,11.54
"Pike, Indiana",18125,Pike,Indiana,0,1.43,11.53
"Dade, Georgia",13083,Dade,Georgia,0,1.86,11.52
"Bexar, Texas",48029,Bexar,Texas,193,230.86,11.52
"Bartow, Georgia",13015,Bartow,Georgia,0,12.42,11.52
"Anderson, Tennessee",47001,Anderson,Tennessee,0,8.86,11.51
"Cumberland, Pennsylvania",42041,Cumberland,Pennsylvania,0,29.14,11.5
"Williamsburg city, Virginia",51830,Williamsburg city,Virginia,0,1.71,11.46
"Marinette, Wisconsin",55075,Marinette,Wisconsin,0,4.63,11.46
"Ada, Idaho",16001,Ada,Idaho,0,55.14,11.45
"Carter, Montana",30011,Carter,Montana,0,0.14,11.41
"Emery, Utah",49015,Emery,Utah,3,1.14,11.41
"Fayette, Illinois",17051,Fayette,Illinois,0,2.43,11.38
"Bureau, Illinois",17011,Bureau,Illinois,0,3.71,11.38
"Newaygo, Michigan",26123,Newaygo,Michigan,0,5.57,11.37
